dia;mes;ano;valor
9;1;1938;11.8
10;1;1938;14.0
11;1;1938;7.1
12;1;1938;13.7
13;1;1938;10.7
14;1;1938;12.6
15;1;1938;7.8
16;1;1938;6.5
17;1;1938;6.0
18;1;1938;11.0
19;1;1938;21.5
20;1;1938;19.1
21;1;1938;20.2
22;1;1938;23.2
23;1;1938;13.2
24;1;1938;6.9
25;1;1938;7.5
26;1;1938;12.9
27;1;1938;11.8
28;1;1938;23.1
29;1;1938;10.6
30;1;1938;15.9
31;1;1938;8.3
1;2;1938;9.1
2;2;1938;8.2
3;2;1938;12.2
4;2;1938;16.6
5;2;1938;12.3
6;2;1938;19.2
7;2;1938;23.2
8;2;1938;23.9
9;2;1938;18.3
10;2;1938;14.6
11;2;1938;8.3
12;2;1938;6.4
13;2;1938;21.3
14;2;1938;25.4
15;2;1938;22.0
16;2;1938;8.1
17;2;1938;7.8
18;2;1938;7.7
19;2;1938;15.8
20;2;1938;23.9
21;2;1938;21.1
22;2;1938;19.7
23;2;1938;21.7
24;2;1938;13.1
25;2;1938;14.4
26;2;1938;19.5
27;2;1938;24.3
28;2;1938;15.2
1;3;1938;21.9
2;3;1938;19.7
3;3;1938;10.1
4;3;1938;12.1
5;3;1938;14.1
6;3;1938;17.3
7;3;1938;12.1
8;3;1938;5.6
9;3;1938;10.3
10;3;1938;15.4
11;3;1938;16.6
12;3;1938;17.1
13;3;1938;20.6
14;3;1938;16.2
15;3;1938;10.4
16;3;1938;18.8
17;3;1938;19.1
18;3;1938;20.7
19;3;1938;19.9
20;3;1938;21.3
21;3;1938;19.9
22;3;1938;20.7
23;3;1938;20.2
24;3;1938;16.4
25;3;1938;21.4
26;3;1938;14.9
27;3;1938;10.9
28;3;1938;13.0
29;3;1938;6.8
30;3;1938;6.8
31;3;1938;10.1
1;4;1938;18.4
2;4;1938;21.5
3;4;1938;20.2
4;4;1938;18.7
5;4;1938;11.9
6;4;1938;12.7
7;4;1938;11.8
8;4;1938;12.2
9;4;1938;18.8
10;4;1938;19.4
11;4;1938;16.9
12;4;1938;14.3
13;4;1938;7.7
14;4;1938;8.5
15;4;1938;10.7
16;4;1938;14.1
17;4;1938;12.6
18;4;1938;12.0
19;4;1938;7.7
20;4;1938;14.1
21;4;1938;13.3
22;4;1938;15.0
23;4;1938;17.1
24;4;1938;15.8
25;4;1938;16.6
26;4;1938;15.3
27;4;1938;14.8
28;4;1938;14.5
29;4;1938;6.6
30;4;1938;9.7
1;5;1938;10.8
2;5;1938;13.0
3;5;1938;13.9
4;5;1938;15.5
5;5;1938;14.6
6;5;1938;11.9
7;5;1938;12.1
8;5;1938;12.5
9;5;1938;11.7
10;5;1938;9.1
11;5;1938;12.0
12;5;1938;14.2
13;5;1938;13.3
14;5;1938;15.4
15;5;1938;12.9
16;5;1938;7.9
17;5;1938;14.2
18;5;1938;11.1
19;5;1938;9.7
20;5;1938;13.7
21;5;1938;13.6
22;5;1938;13.1
23;5;1938;14.8
24;5;1938;10.2
25;5;1938;13.7
26;5;1938;14.3
27;5;1938;14.5
28;5;1938;14.9
29;5;1938;13.1
30;5;1938;14.5
31;5;1938;13.0
1;6;1938;15.1
2;6;1938;15.7
3;6;1938;15.5
4;6;1938;13.2
5;6;1938;13.6
6;6;1938;13.7
7;6;1938;12.6
8;6;1938;12.9
9;6;1938;14.6
10;6;1938;4.7
11;6;1938;5.2
12;6;1938;5.7
13;6;1938;5.2
14;6;1938;10.9
15;6;1938;11.7
16;6;1938;13.9
17;6;1938;8.7
18;6;1938;13.9
19;6;1938;8.9
